code,courseNameEN,courseNameTH,credit,prerequisites,corequisites,category,curriculum,Year
5500112,Exp Eng II,ภาษาอังกฤษเพื่อการเรียนรู้ในชีวิตจริง 2,3,5500111,,กลุ่มวิชาภาษา,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301286,Prob Stat,ความน่าจะเป็นและสถิติ,3,2301107,,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301230,Discrete CS,คณิตศาสตร์ดิสครีตสำหรับวิทยาการคอมพิวเตอร์,2,2301220,,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301265,DSA,โครงสร้างข้อมูลและอัลกอริทึม,4,2301260,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301274,Comp Sys,ระบบคอมพิวเตอร์,3,2301260,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301234,Linear Algebra I,พีชคณิตเชิงเส้น 1,3,2301220,,วิชาบังคับเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301266,Elem Data Lit,ความฉลาดรู้เชิงข้อมูลเบื้องต้น,3,2301260,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301375,Database,ระบบฐานข้อมูล,3,2301265,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301275,Comp Network,เครือข่ายคอมพิวเตอร์,3,2301173,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
5500204,EAP I,ภาษาอังกฤษสำหรับสาขาวิชาวิทยาศาสตร์ 1,3,5500112,,กลุ่มวิชาภาษา,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301379,TC,ทฤษฎีคอมพิวเทชัน,3,2301230,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301367,SE,วิธีการและการพัฒนาทางวิศวกรรมซอฟต์แวร์,3,2301375,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301371,OS,ระบบปฏิบัติการ,3,"2301265, 2301274",,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301360,Info Sys Mgt,การจัดการระบบสารสนเทศ,3,2301173,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301399,Project Proposal,การเสนอโครงงาน,1,,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301397,Pre-CS Intern,การเตรียมสำหรับสหกิจศึกษา,1,,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกโท-ฝึกงาน-2566",66
5500496,Comm Sci Tech,การสื่อสารทางวิทยาศาสตร์และเทคโนโลยี,3,5500204,,กลุ่มวิชาภาษา,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301398,COMP SCI INTERN,การฝึกงานทางวิทยาการคอมพิวเตอร์,3,2300398,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกโท-ฝึกงาน-2566",66
2300398,Internship with computer science knowledge,การฝึกงานโดยใช้ความรู้ทางด้านวิทยาการคอมพิวเตอร์,1,,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301487,COMP SCI PROJECT,โครงการวิทยาการคอมพิวเตอร์,3,,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301480,Seminar in Computer Science ,สัมมนาทางวิทยาการคอมพิวเตอร์,1,,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301227,PRINCIPLES OF MATHEMATICS I,หลักคณิตศาสตร์ 1,3,,,วิชาเลือก,เอกเดี่ยว-ฝึกงาน-2566,67
2301228,PRINCIPLES OF MATHEMATICS II,หลักคณิตศาสตร์ 2,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301250,COMPUTER ETHICS,จรรยาบรรณคอมพิวเตอร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301251,REQUIREMENTS ENGINEERING PROCESS,กระบวนการวิศวกรรมความต้องการ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301279,INTRODUCTION TO COMPUTER NETWORK,เครือข่ายคอมพิวเตอร์เบื้องต้น,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301290,COMPUTER SCIENCE MINI PROJECT,โครงงานขนาดเล็กทางวิทยาการคอมพิวเตอร์,1,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301321,COMBINATORICS AND GRAPH THEORY,คณิตศาสตร์เชิงการจัดและทฤษฎีกราฟ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301323,NUMBER SYSTEMS,ระบบจำนวน,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301331,THEORY OF NUMBERS,ทฤษฎีจำนวน,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301337,ABSTRACT ALGEBRA I,พีชคณิตนามธรรม 1,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301338,ABSTRACT ALGEBRA II,พีชคณิตนามธรรม 2,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301350,USER INTERFACE DESIGN,การออกแบบส่วนประสานกับผู้ใช้,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301351,MODERN CRYPTOGRAPHY,วิทยาการรหัสลับสมัยใหม่,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301357,ARCHITECTING ON THE CLOUD,สถาปัตยกรรมบนคลาวด์,3,,"(2301279 OR 2301369),  (2301279 OR 2301369)",วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301361,SYSTEMS ANALYSIS AND DESIGN,การวิเคราะห์และออกแบบระบบ (สำหรับนิสิตรหัส 2561),3,,"(2301279 OR 2301369),  2301279",วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301362,COMPUTER NETWORK DESIGN,การออกแบบเครือข่ายคอมพิวเตอร์,3,,2301279 OR 2301369,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301366,NUMERICAL ANALYSIS,การวิเคราะห์เชิงตัวเลข,3,"(2301265 OR 2301274), (2301279 OR 2301369)",,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301368,IMAGE PROCESSING,การประมวลภาพ,3,2301265 OR 2301274,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301369,DATA COMMUNICATION I,การสื่อสารข้อมูล 1,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301377,COMPUTER GRAPHICS,คอมพิวเตอร์กราฟิกส์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301451,SOFTWARE TESTING,การทดสอบซอฟต์แวร์,3,"(2301265 OR 2301274), 2301279",,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301452,SOFTWARE DESIGN,การออกแบบซอฟต์แวร์,3,2301265 OR 2301274,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301455,SEQUENCE ANALYSIS ALGORITHMS IN BIOINFORMATICS,ขั้นตอนวิธีการวิเคราะห์ลำดับข้อมูลในชีวสารสนเทศศาสตร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301456,INTRODUCTION TO DATA WAREHOUSE AND DATA MINING,คลังข้อมูลและการทำเหมืองข้อมูลเบื้องต้น,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301457,MATHEMATICAL PERSPECTIVES ON MACHINE LEARNING ALGORITHMS,มุมมองทางคณิตศาสตร์สำหรับขั้นตอนวิธีการเรียนรู้ของเครื่อง,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301462,DISTRIBUTED OPERATING SYSTEMS,ระบบปฏิบัติการแบบกระจาย,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301463,DISTRIBUTED DATABASE SYSTEMS,ระบบฐานข้อมูลแบบกระจาย,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301466,INTRODUCTION TO MOBILE COMPUTING,การคำนวณสำหรับอุปกรณ์เคลื่อนที่เบื้องต้น,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301468,COMPUTER VISION,คอมพิวเตอร์วิทัศน์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301475,LOGIC AND FUNCTIONAL PROGRAMMING,การทำโปรแกรมเชิงตรรกะและการทำโปรแกรมเชิงฟังก์ชัน,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301476,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS,ปัญญาประดิษฐ์และระบบผู้เช่ียวชาญ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301478,SOFTWARE PROJECT MANAGEMENT,การจัดการโครงการซอฟต์แวร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301479,OBJECT-ORIENTED ANALYSIS AND DESIGN,การวิเคราะห์และออกแบบเชิงวัตถุ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301491,SPECIAL TOPICS IN COMPUTER SCIENCE,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301494,SPECIAL TOPICS IN COMPUTER SCIENCE II,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301495,SELECTED TOPICS IN COMPUTER SCIENCE,เรื่องคัดเฉพาะทางวิทยาการคอมพิวเตอร์ 1,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301496,SELECTED TOPICS IN COMPUTER SCIENCE,เรื่องคัดเฉพาะทางวิทยาการคอมพิวเตอร์ 2,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301497,CO-OPERATIVE EDUCATION,สหกิจศึกษา,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301510,FUNDAMENTALS OF ABSTRACT MATHEMATICS,หลักมูลของคณิตศาสตร์นามธรรม,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301532,CODING THEORY,ทฤษฎีรหัส,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2110430,TIME SERIES MINING AND KNOWLEDGE DISCOVERY,การทำเหมืองข้อมูลอนุกรมเวลาและการค้นหาความรู้,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2110521,Software Architecture,สถาปัตยกรรมซอฟต์แวร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2209372,INTRODUCTION TO COMPUTATIONAL LINGUISTICS,ภาษาศาสตร์คอมพิวเตอร์เบื้องต้น,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2209381,SPEECH TECHNOLOGY,เทคโนโลยีวัจนะ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2209382,MACHINE TRANSLATION,การแปลภาษาด้วยคอมพิวเตอร์,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2209384,NATURAL LANGUAGE UNDERSTANDING,การเข้าใจภาษาธรรมชาติ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2209678,NATURAL LANGUAGE PROCESSING SYSTEMS,ระบบการประมวลผลภาษาธรรมชาติ,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301181,FINANCIAL MATHEMATICAL MODELS,ตัวแบบคณิตศาสตร์ทางการเงิน,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301218,CALCULUS IV,แคลคูลัส 4,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",67
2301170,Computer and Programming,คอมพิวเตอร์และการโปรแกรม,3,,,วิชาบังคับเลือก-(หมวดวิจัย),เกียรตินิยม-ฝึกงาน-2566,61
2301170,Computer and Programming,คอมพิวเตอร์และการโปรแกรม,3,,,วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",61
2301498,CO-OPERATIVE EDUCATION,สหกิจศึกษา,6,,,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-สหกิจ-2566,เอกโท-สหกิจ-2566",67
